unicode,hexvalue,emoji,anger,sadness,happiness,surprise
\U0001f602,1f602,😂,0,20,70,10
\U0001f612,1f612,😒,10,30,0,0
\U0001f629,1f629,😩,0,60,0,0
\U0001f62d,1f62d,😭,0,100,0,0
\U0001f60d,1f60d,😍,10,0,30,20
\U0001f614,1f614,😔,0,40,0,0
\U0001f44c,1f44c,👌,0,0,10,0
\U0001f60a,1f60a,😊,0,0,40,10
\u2764,2764,❤,0,0,60,0
\U0001f60f,1f60f,😏,0,20,20,0
\U0001f601,1f601,😁,0,0,40,20
\U0001f3b6,1f3b6,🎶,0,10,20,0
\U0001f633,1f633,😳,0,10,0,50
\U0001f4af,1f4af,💯,0,0,20,20
\U0001f634,1f634,😴,0,30,0,0
\U0001f60c,1f60c,😌,0,10,20,10
\u263a,263a,☺,0,0,50,0
\U0001f64c,1f64c,🙌,0,0,30,20
\U0001f495,1f495,💕,0,0,30,0
\U0001f611,1f611,😑,10,10,0,0
\U0001f605,1f605,😅,0,10,20,10
\U0001f64f,1f64f,🙏,0,30,0,10
\U0001f615,1f615,😕,0,20,0,0
\U0001f618,1f618,😘,0,0,30,30
\u2665,2665,♥,0,0,20,20
\U0001f610,1f610,😐,0,10,0,10
\U0001f481,1f481,💁,0,0,0,20
\U0001f61e,1f61e,😞,0,40,0,0
\U0001f648,1f648,🙈,0,0,10,0
\U0001f62b,1f62b,😫,0,50,0,0
\u270c,270c,✌,0,0,20,0
\U0001f60e,1f60e,😎,0,0,30,0
\U0001f621,1f621,😡,80,0,0,0
\U0001f44d,1f44d,👍,0,0,10,0
\U0001f622,1f622,😢,0,60,0,0
\U0001f62a,1f62a,😪,0,20,0,0
\U0001f60b,1f60b,😋,0,0,30,0
\U0001f624,1f624,😤,30,0,0,0
\u270b,270b,✋,20,0,0,0
\U0001f637,1f637,😷,0,20,0,0
\U0001f44f,1f44f,👏,0,0,20,30
\U0001f440,1f440,👀,0,0,0,40
\U0001f52b,1f52b,🔫,30,0,0,0
\U0001f623,1f623,😣,40,0,0,0
\U0001f608,1f608,😈,30,0,10,0
\U0001f613,1f613,😓,0,30,0,0
\U0001f494,1f494,💔,0,40,10,0
\u2661,2661,♡,0,0,20,0
\U0001f3a7,1f3a7,🎧,0,0,10,0
\U0001f64a,1f64a,🙊,0,20,0,40
\U0001f609,1f609,😉,0,0,30,0
\U0001f480,1f480,💀,30,30,0,0
\U0001f616,1f616,😖,20,20,0,10
\U0001f604,1f604,😄,0,0,60,20
\U0001f61c,1f61c,😜,0,0,40,10
\U0001f620,1f620,😠,50,0,0,0
\U0001f645,1f645,🙅,20,0,0,10
\U0001f4aa,1f4aa,💪,20,0,20,20
\U0001f44a,1f44a,👊,40,0,10,10
\U0001f49c,1f49c,💜,0,0,30,0
\U0001f496,1f496,💖,0,0,30,10
\U0001f499,1f499,💙,0,0,30,0
\U0001f62c,1f62c,😬,10,0,0,20
\u2728,2728,✨,0,0,40,20
